"","p_val","log_fc","rate1","rate2","padj","cluster","feature","comp"
"ARX",0,-1.88874756589661,0.999,1,0,"ML","ARX","ML_vs_all"
"IRF5",0,1.07401116675723,0.999,1,0,"ML","IRF5","ML_vs_all"
"MSX2",0,-1.97518291714703,0.999,1,0,"ML","MSX2","ML_vs_all"
"SIN3A",0,-1.23103682075235,0.999,1,0,"ML","SIN3A","ML_vs_all"
"ZHX2",0,-2.47335901038341,0.999,1,0,"ML","ZHX2","ML_vs_all"
"ZNF202",0,-3.71420176090562,0.999,1,0,"ML","ZNF202","ML_vs_all"
"CTNNB1",0,0.987118857070282,1,1,0,"ML","CTNNB1","ML_vs_all"
"PAWR",0,-2.00137296083137,1,1,0,"ML","PAWR","ML_vs_all"
"RFX1",0,0.910413809661827,1,1,0,"ML","RFX1","ML_vs_all"
"RUNX2",0,1.18908704867391,1,1,0,"ML","RUNX2","ML_vs_all"
"SMAD9",0,1.26097877826714,1,1,0,"ML","SMAD9","ML_vs_all"
"SOX7",0,1.51190603996716,1,1,0,"ML","SOX7","ML_vs_all"
"SP1",0,1.06428857785838,1,1,0,"ML","SP1","ML_vs_all"
"TBR1",0,-1.70949629994658,1,1,0,"ML","TBR1","ML_vs_all"
"WT1",0,0.966097897391879,1,1,0,"ML","WT1","ML_vs_all"
"ZNF219",0,1.16507493389763,1,1,0,"ML","ZNF219","ML_vs_all"
"ZNF384",0,1.32250248150774,1,1,0,"ML","ZNF384","ML_vs_all"
"VEZF1",4.6476786341884e-289,-1.38061967486187,0.999,1,3.39745308159172e-286,"ML","VEZF1","ML_vs_all"
"SCX",7.27329312206033e-288,1.10644754948361,1,1,5.3167772722261e-285,"ML","SCX","ML_vs_all"
"ZIC2",4.11633648917363e-286,0.873371942917637,1,1,3.00904197358592e-283,"ML","ZIC2","ML_vs_all"
"SOX6",7.59919286822519e-273,1.30703035792842,1,1,5.55500998667262e-270,"ML","SOX6","ML_vs_all"
"NR2F6",2.35361066385845e-265,-1.21624617597736,0.999,1,1.72048939528053e-262,"ML","NR2F6","ML_vs_all"
"PAX7",3.59262062864546e-261,1.06531600487742,1,1,2.62620567953983e-258,"ML","PAX7","ML_vs_all"
"GATA6",8.99670334984573e-259,0.928531481904379,1,1,6.57659014873723e-256,"ML","GATA6","ML_vs_all"
"EBF1",2.40844496814584e-256,-1.56020956995192,1,1,1.76057327171461e-253,"ML","EBF1","ML_vs_all"
"KLF7",1.50896661998128e-255,1.02139840692632,1,1,1.10305459920632e-252,"ML","KLF7","ML_vs_all"
"TCF7L1",2.03059956631975e-255,-0.907002444602459,1,1,1.48436828297974e-252,"ML","TCF7L1","ML_vs_all"
"NHLH1",1.31856121367467e-254,1.23984312770946,1,1,9.63868247196187e-252,"ML","NHLH1","ML_vs_all"
"INSM1",4.47924231296565e-254,-2.48436954896526,0.999,1,3.27432613077789e-251,"ML","INSM1","ML_vs_all"
"CEBPG",3.28145231357584e-252,0.752117281016313,1,1,2.39874164122394e-249,"ML","CEBPG","ML_vs_all"
"VHL",2.71995125494929e-251,0.961967873674338,1,1,1.98828436736793e-248,"ML","VHL","ML_vs_all"
"RFXAP",8.60706325917408e-246,0.951938231671011,1,1,6.29176324245625e-243,"ML","RFXAP","ML_vs_all"
"NR3C1",1.72875973806662e-245,0.978331961898443,1,1,1.2637233685267e-242,"ML","NR3C1","ML_vs_all"
"HOXA5",4.69175073868086e-245,0.626421110021985,1,1,3.42966978997571e-242,"ML","HOXA5","ML_vs_all"
"SIX3",6.39432329949116e-245,-0.759919113243594,1,1,4.67425033192804e-242,"ML","SIX3","ML_vs_all"
"NOTCH1",2.940592841612e-243,0.689277388758537,1,1,2.14957336721837e-240,"ML","NOTCH1","ML_vs_all"
"NONO",1.25537424624339e-242,0.97204686232419,1,1,9.17678574003916e-240,"ML","NONO","ML_vs_all"
"MYT1",1.21048981031715e-240,-1.74537096642875,1,1,8.84868051341839e-238,"ML","MYT1","ML_vs_all"
"OVOL1",1.42208275932757e-239,0.833420813780111,1,1,1.03954249706845e-236,"ML","OVOL1","ML_vs_all"
"SMAD2",2.02916976922153e-226,-0.817063000227941,1,1,1.48332310130094e-223,"ML","SMAD2","ML_vs_all"
"PAX6",1.24014757438696e-224,-0.971732623064072,1,1,9.06547876876866e-222,"ML","PAX6","ML_vs_all"
"PHOX2A",1.52789014140032e-223,-1.68796576952556,0.999,1,1.11688769336364e-220,"ML","PHOX2A","ML_vs_all"
"NCOA2",8.49845750051232e-223,0.769599269001262,1,1,6.21237243287451e-220,"ML","NCOA2","ML_vs_all"
"KLF8",1.27599647438186e-220,-1.13101370990721,0.999,1,9.32753422773139e-218,"ML","KLF8","ML_vs_all"
"BACH2",6.93003509242852e-220,-1.10118416675151,0.999,1,5.06585565256525e-217,"ML","BACH2","ML_vs_all"
"SNAI2",1.25327369261604e-219,-1.93983679543379,1,1,9.16143069302323e-217,"ML","SNAI2","ML_vs_all"
"RFX5",3.20481679553349e-218,0.817900864059816,1,1,2.34272107753498e-215,"ML","RFX5","ML_vs_all"
"JUN",6.46185824465554e-217,0.685195058065156,1,1,4.7236183768432e-214,"ML","JUN","ML_vs_all"
"NFKB",1.14987911943987e-214,0.709538533799005,1,1,8.40561636310544e-212,"ML","NFKB","ML_vs_all"
"BCL11B",3.80080795843766e-214,0.894484316938462,1,1,2.77839061761793e-211,"ML","BCL11B","ML_vs_all"
"PAX4",1.43825709519296e-207,1.0028513045346,1,1,1.05136593658606e-204,"ML","PAX4","ML_vs_all"
"PLAGL1",3.94882503986584e-206,-0.923940971271091,0.999,1,2.88659110414193e-203,"ML","PLAGL1","ML_vs_all"
"SOX5",7.55615330087413e-205,0.687328152201413,1,1,5.52354806293899e-202,"ML","SOX5","ML_vs_all"
"SMAD5",1.69796183828137e-202,0.795291652696239,1,1,1.24121010378368e-199,"ML","SMAD5","ML_vs_all"
"NFE2L2",8.83491348003883e-201,0.751731120306731,1,1,6.45832175390838e-198,"ML","NFE2L2","ML_vs_all"
"NFATC4",1.20165899850025e-200,-0.775905779594975,1,1,8.78412727903681e-198,"ML","NFATC4","ML_vs_all"
"NFIB",5.7233838806423e-200,-0.766754233186523,0.999,1,4.18379361674952e-197,"ML","NFIB","ML_vs_all"
"SOX18",3.64449949194389e-198,-1.35448495609437,0.999,1,2.66412912861098e-195,"ML","SOX18","ML_vs_all"
"HOXB9",8.63093691061295e-198,-1.02773946174402,1,1,6.30921488165807e-195,"ML","HOXB9","ML_vs_all"
"SMAD1",2.42839629168114e-197,0.724082671064618,1,1,1.77515768921891e-194,"ML","SMAD1","ML_vs_all"
"NEUROG3",3.95730005062055e-197,-2.00169551549791,1,1,2.89278633700362e-194,"ML","NEUROG3","ML_vs_all"
"FOXM1",3.96772847479399e-197,-0.83138050965861,0.999,1,2.90040951507441e-194,"ML","FOXM1","ML_vs_all"
"IRF9",5.92679406724947e-196,-1.18324290814966,1,1,4.33248646315936e-193,"ML","IRF9","ML_vs_all"
"ZBTB18",1.23031850471199e-194,-1.48669785665683,1,1,8.99362826944467e-192,"ML","ZBTB18","ML_vs_all"
"GATA5",4.79104202086494e-190,0.75413806227814,1,1,3.50225171725227e-187,"ML","GATA5","ML_vs_all"
"PKNOX1",1.9521085371392e-186,-0.765346922274137,0.999,1,1.42699134064876e-183,"ML","PKNOX1","ML_vs_all"
"RBPJ",3.44148772955807e-184,0.731482393599809,1,1,2.51572753030695e-181,"ML","RBPJ","ML_vs_all"
"ZEB2",4.07686332785367e-184,0.709259709469908,1,1,2.98018709266103e-181,"ML","ZEB2","ML_vs_all"
"HIF1A",3.32086295021699e-183,0.64974727742496,1,1,2.42755081660862e-180,"ML","HIF1A","ML_vs_all"
"CHD4",9.44208465020432e-183,0.851955338691267,1,1,6.90216387929935e-180,"ML","CHD4","ML_vs_all"
"HIVEP1",1.48557215487513e-181,0.730910095444841,1,1,1.08595324521372e-178,"ML","HIVEP1","ML_vs_all"
"GLI1",7.39731838499058e-177,0.698194002288452,1,1,5.40743973942811e-174,"ML","GLI1","ML_vs_all"
"TLX1",6.68251883805683e-173,0.742785804249436,1,1,4.88492127061954e-170,"ML","TLX1","ML_vs_all"
"NEUROD2",2.3789375866574e-172,-1.81469833755901,1,1,1.73900337584656e-169,"ML","NEUROD2","ML_vs_all"
"DNMT3A",9.67345462043386e-172,0.707863016155283,1,1,7.07129532753715e-169,"ML","DNMT3A","ML_vs_all"
"PAX2",1.39807748786737e-170,-0.899442680550651,1,1,1.02199464363105e-167,"ML","PAX2","ML_vs_all"
"EZH2",2.39263593622056e-170,0.577182454365691,1,1,1.74901686937723e-167,"ML","EZH2","ML_vs_all"
"REST",1.65695085791159e-168,0.813061674935195,1,1,1.21123107713337e-165,"ML","REST","ML_vs_all"
"KLF15",8.65450065925576e-166,-0.928310429930751,1,1,6.32643998191596e-163,"ML","KLF15","ML_vs_all"
"ZNF236",5.60949256226243e-165,-1.15919883773107,0.999,1,4.10053906301383e-162,"ML","ZNF236","ML_vs_all"
"TTF1",1.12236807548882e-164,0.563911276178611,1,1,8.2045106318233e-162,"ML","TTF1","ML_vs_all"
"NFIX",9.20742539329726e-164,-0.750815429807519,0.999,1,6.7306279625003e-161,"ML","NFIX","ML_vs_all"
"MECP2",1.81378558783501e-160,-0.864017163455244,0.999,1,1.3258772647074e-157,"ML","MECP2","ML_vs_all"
"SPIB",2.9431732578576e-160,-0.801734121333181,1,1,2.15145965149391e-157,"ML","SPIB","ML_vs_all"
"CEBPD",6.85230757736769e-160,0.638896048260425,1,1,5.00903683905578e-157,"ML","CEBPD","ML_vs_all"
"PAX9",2.1902035900251e-158,1.00878661868628,1,1,1.60103882430835e-155,"ML","PAX9","ML_vs_all"
"ZNF91",4.0533804747665e-158,-0.841573784384593,1,1,2.96302112705431e-155,"ML","ZNF91","ML_vs_all"
"TFAM",6.18232876890446e-157,-1.21093559789129,1,1,4.51928233006916e-154,"ML","TFAM","ML_vs_all"
"TGFB1I1",4.27851073231153e-156,0.869315926109047,1,1,3.12759134531973e-153,"ML","TGFB1I1","ML_vs_all"
"LRRFIP1",8.43037981432231e-156,0.611993916134994,1,1,6.16260764426961e-153,"ML","LRRFIP1","ML_vs_all"
"KLF11",1.5716460559457e-152,-0.689860575465999,1,1,1.14887326689631e-149,"ML","KLF11","ML_vs_all"
"ELF3",6.10568411510437e-152,0.578395890212942,1,1,4.4632550881413e-149,"ML","ELF3","ML_vs_all"
"AR",5.67386912826639e-151,0.609029426451978,1,1,4.14759833276273e-148,"ML","AR","ML_vs_all"
"ZIC1",3.70042067562188e-150,0.626076201586897,1,1,2.7050075138796e-147,"ML","ZIC1","ML_vs_all"
"FOXC2",1.78655803673969e-149,-0.797171895171782,1,1,1.30597392485671e-146,"ML","FOXC2","ML_vs_all"
"ID4",2.90217805756237e-148,-0.788935028054196,1,1,2.12149216007809e-145,"ML","ID4","ML_vs_all"
"POU2AF1",2.42258808895103e-147,0.767872575656261,1,1,1.77091189302321e-144,"ML","POU2AF1","ML_vs_all"
"RXRB",5.84483946522499e-147,-0.885405272808967,0.999,1,4.27257764907946e-144,"ML","RXRB","ML_vs_all"
"BHLHA15",1.97969623700203e-146,0.648623064628365,1,1,1.44715794924848e-143,"ML","BHLHA15","ML_vs_all"
"SOX2",5.68004748037428e-145,0.578677786582091,1,1,4.1521147081536e-142,"ML","SOX2","ML_vs_all"
"IRX1",2.28361041635509e-144,0.628904800820196,1,1,1.66931921435557e-141,"ML","IRX1","ML_vs_all"
"KCNIP3",3.8245525514667e-138,-1.03012118415031,1,1,2.79574791512216e-135,"ML","KCNIP3","ML_vs_all"
"HEY2",4.81850342197138e-132,0.638190451097827,1,1,3.52232600146108e-129,"ML","HEY2","ML_vs_all"
"GLIS3",5.20476709432427e-132,-0.614014568427964,1,1,3.80468474595104e-129,"ML","GLIS3","ML_vs_all"
"NCOR2",2.24300626923735e-131,-0.670737062734393,0.999,1,1.6396375828125e-128,"ML","NCOR2","ML_vs_all"
"MAFA",6.78520069096876e-131,-1.07765164162221,1,1,4.95998170509816e-128,"ML","MAFA","ML_vs_all"
"HES6",1.38202248351325e-128,-1.02681857584927,1,1,1.01025843544818e-125,"ML","HES6","ML_vs_all"
"MYC",1.34924190550433e-127,0.915977269992588,1,1,9.86295832923664e-125,"ML","MYC","ML_vs_all"
"CLOCK",2.98229369996155e-127,-0.793118948269826,1,1,2.18005669467189e-124,"ML","CLOCK","ML_vs_all"
"ELK3",2.47153537684501e-125,0.518954340347237,1,1,1.8066923604737e-122,"ML","ELK3","ML_vs_all"
"FOXP2",7.04997569573352e-125,-0.593073247347045,1,1,5.1535322335812e-122,"ML","FOXP2","ML_vs_all"
"BCL11A",2.17835888332098e-123,-0.980827288370776,1,1,1.59238034370764e-120,"ML","BCL11A","ML_vs_all"
"SRY",2.29406124365252e-122,0.576159711140726,1,1,1.67695876910999e-119,"ML","SRY","ML_vs_all"
"NR1I2",2.65998286857306e-122,-0.745634567491035,0.999,1,1.94444747692691e-119,"ML","NR1I2","ML_vs_all"
"SALL2",5.7725240995797e-120,-0.947638918360596,1,1,4.21971511679276e-117,"ML","SALL2","ML_vs_all"
"POU5F1",6.52789703442695e-120,-0.646454569577977,1,1,4.7718927321661e-117,"ML","POU5F1","ML_vs_all"
"NR5A2",1.27154344760254e-119,-0.677073552446688,1,1,9.29498260197458e-117,"ML","NR5A2","ML_vs_all"
"ISL1",1.74555207165575e-119,-0.994732348224925,1,1,1.27599856438035e-116,"ML","ISL1","ML_vs_all"
"ATOH7",4.69327643610645e-119,-1.70958860943634,1,1,3.43078507479382e-116,"ML","ATOH7","ML_vs_all"
"SOX17",1.30413638309766e-118,0.787367297787615,1,1,9.53323696044388e-116,"ML","SOX17","ML_vs_all"
"WWTR1",1.28702617494641e-117,0.738332629524741,1,1,9.40816133885827e-115,"ML","WWTR1","ML_vs_all"
"PBX2",2.25058992113211e-117,-0.563936047660583,0.999,1,1.64518123234757e-114,"ML","PBX2","ML_vs_all"
"LEF1",4.49842886788824e-117,0.566051978504519,1,1,3.2883515024263e-114,"ML","LEF1","ML_vs_all"
"TBX18",8.52782061487737e-116,0.520047477592821,1,1,6.23383686947536e-113,"ML","TBX18","ML_vs_all"
"NEUROD1",4.56718828958172e-115,-0.962475735165711,1,1,3.33861463968424e-112,"ML","NEUROD1","ML_vs_all"
"NR1H4",1.18725885532253e-114,0.446552879240596,1,1,8.67886223240769e-112,"ML","NR1H4","ML_vs_all"
"SMAD4",5.89531870953535e-114,0.549824181694706,1,1,4.30947797667034e-111,"ML","SMAD4","ML_vs_all"
"ESR1",9.29607254427544e-113,0.51775496175255,1,1,6.79542902986534e-110,"ML","ESR1","ML_vs_all"
"ARID1A",2.19201701254143e-111,-0.807666399563161,1,1,1.60236443616778e-108,"ML","ARID1A","ML_vs_all"
"PREB",8.81205781123381e-110,-0.739193703824414,1,1,6.44161426001191e-107,"ML","PREB","ML_vs_all"
"GATA2",3.37500879208081e-109,0.477441755241942,1,1,2.46713142701107e-106,"ML","GATA2","ML_vs_all"
"POU1F1",4.01341441913828e-109,0.492349455651167,1,1,2.93380594039008e-106,"ML","POU1F1","ML_vs_all"
"KLF4",4.55452543940152e-109,0.449897062090836,1,1,3.32935809620251e-106,"ML","KLF4","ML_vs_all"
"TBX1",4.79192261944224e-108,-0.486373855585181,0.999,1,3.50289543481227e-105,"ML","TBX1","ML_vs_all"
"GRHL3",9.95066856032161e-108,-0.663933580229535,1,1,7.27393871759509e-105,"ML","GRHL3","ML_vs_all"
"FOXQ1",1.01348978489982e-106,0.643693528717574,1,1,7.40861032761767e-104,"ML","FOXQ1","ML_vs_all"
"PDX1",1.90930250225252e-105,-1.36008424700987,1,1,1.39570012914659e-102,"ML","PDX1","ML_vs_all"
"ELF4",2.64317244796093e-105,0.469870653660448,1,1,1.93215905945944e-102,"ML","ELF4","ML_vs_all"
"ZNF160",3.19919582229707e-105,-0.666319379674032,0.999,1,2.33861214609916e-102,"ML","ZNF160","ML_vs_all"
"TFAP2B",6.24009606220031e-105,0.421951494620878,1,1,4.56151022146842e-102,"ML","TFAP2B","ML_vs_all"
"NR1D1",1.25696106312066e-103,-0.65297863477199,0.999,1,9.18838537141203e-101,"ML","NR1D1","ML_vs_all"
"STAT1",5.68781611916192e-103,0.460596120800851,1,1,4.15779358310737e-100,"ML","STAT1","ML_vs_all"
"ETV6",1.3814561905854e-101,-0.590569871670891,1,1,1.00984447531793e-98,"ML","ETV6","ML_vs_all"
"ZMYND8",5.11316387964334e-101,0.448911952200262,1,1,3.73772279601928e-98,"ML","ZMYND8","ML_vs_all"
"KDM5A",1.06770003905204e-100,0.448219272228424,1,1,7.80488728547042e-98,"ML","KDM5A","ML_vs_all"
"RFXANK",2.5059558989163e-100,0.605017296725542,1,1,1.83185376210782e-97,"ML","RFXANK","ML_vs_all"
"TWIST2",4.42684654659355e-100,-0.673014529971281,1,1,3.23602482555988e-97,"ML","TWIST2","ML_vs_all"
"ELF1",7.88506406793923e-100,-0.592758710506095,1,1,5.76398183366358e-97,"ML","ELF1","ML_vs_all"
"ZBTB33",9.00895932956533e-100,-0.639759141304544,1,1,6.58554926991226e-97,"ML","ZBTB33","ML_vs_all"
"NKX2-2",4.38355478522692e-99,-0.864522934291128,1,1,3.20437854800088e-96,"ML","NKX2-2","ML_vs_all"
"FOXN1",7.86229302369575e-99,-0.630740137477381,1,1,5.7473362003216e-96,"ML","FOXN1","ML_vs_all"
"TP63",3.92287425309609e-98,-0.544937504658076,1,1,2.86762107901324e-95,"ML","TP63","ML_vs_all"
"HOXB5",7.49825345946165e-98,-0.844564314093581,1,1,5.48122327886647e-95,"ML","HOXB5","ML_vs_all"
"RORA",2.80340520210066e-97,0.383649719573554,1,1,2.04928920273558e-94,"ML","RORA","ML_vs_all"
"KMT2A",5.09663489172766e-97,-0.593947853505973,1,1,3.72564010585292e-94,"ML","KMT2A","ML_vs_all"
"MYOCD",8.56906935129616e-97,0.308529763313196,1,1,6.2639896957975e-94,"ML","MYOCD","ML_vs_all"
"BARX2",1.02297496761089e-94,-0.689839021924791,1,1,7.47794701323558e-92,"ML","BARX2","ML_vs_all"
"MYOD1",4.82284767866276e-94,-0.490375415976936,1,1,3.52550165310247e-91,"ML","MYOD1","ML_vs_all"
"NFATC3",7.5275603073512e-94,-0.531532870234713,1,1,5.50264658467373e-91,"ML","NFATC3","ML_vs_all"
"HR",2.20115886113651e-93,0.433385350412566,1,1,1.60904712749079e-90,"ML","HR","ML_vs_all"
"KLF3",4.03831139367024e-93,-0.426044254023142,1,1,2.95200562877294e-90,"ML","KLF3","ML_vs_all"
"MAFB",5.17950083486099e-93,-0.658805706811558,1,1,3.78621511028338e-90,"ML","MAFB","ML_vs_all"
"AHR",8.48425672249852e-93,0.411041589601634,1,1,6.20199166414642e-90,"ML","AHR","ML_vs_all"
"MKX",4.20394048558801e-92,-0.747261557435548,1,1,3.07308049496484e-89,"ML","MKX","ML_vs_all"
"EBF3",1.03561246342316e-91,0.563417347777999,1,1,7.57032710762329e-89,"ML","EBF3","ML_vs_all"
"HIVEP2",1.62405704254325e-91,-0.685437096364055,1,1,1.18718569809911e-88,"ML","HIVEP2","ML_vs_all"
"NHLH2",3.00230203400285e-91,-0.639638558367528,1,1,2.19468278685608e-88,"ML","NHLH2","ML_vs_all"
"NR1I3",5.07297807701628e-91,0.43432812828088,1,1,3.7083469742989e-88,"ML","NR1I3","ML_vs_all"
"PRDM4",1.27524544326513e-90,0.538648509445987,1,1,9.32204419026812e-88,"ML","PRDM4","ML_vs_all"
"ZBED1",6.52911328680231e-90,0.485633206488739,1,1,4.77278181265249e-87,"ML","ZBED1","ML_vs_all"
"ID2",1.00740209906581e-88,0.485601116354753,1,1,7.36410934417105e-86,"ML","ID2","ML_vs_all"
"ZBTB17",1.64155134097311e-88,0.500507240269999,1,1,1.19997403025134e-85,"ML","ZBTB17","ML_vs_all"
"TBX10",2.0902952212947e-88,-0.739448247941266,1,1,1.52800580676642e-85,"ML","TBX10","ML_vs_all"
"STAT6",6.20387115332517e-88,0.371784851694133,1,1,4.5350298130807e-85,"ML","STAT6","ML_vs_all"
"HOXD3",1.19660078496657e-86,-0.800832792013368,1,1,8.74715173810563e-84,"ML","HOXD3","ML_vs_all"
"RARB",1.43325996916426e-85,0.380349764290473,1,1,1.04771303745907e-82,"ML","RARB","ML_vs_all"
"SATB2",2.99035086106295e-85,0.330418244257841,1,1,2.18594647943702e-82,"ML","SATB2","ML_vs_all"
"STAT5A",3.40978332863678e-85,-0.495334600731808,1,1,2.49255161323349e-82,"ML","STAT5A","ML_vs_all"
"ATF1",7.26283377593592e-85,0.403760496290332,1,1,5.30913149020916e-82,"ML","ATF1","ML_vs_all"
"HOXB3",1.21173545935887e-84,-0.689945650447842,1,1,8.85778620791338e-82,"ML","HOXB3","ML_vs_all"
"FEV",2.07154204606312e-84,-2.61535989866328,0.999,1,1.51429723567214e-81,"ML","FEV","ML_vs_all"
"FOXN4",3.94888913141294e-83,-0.791864301757658,1,1,2.88663795506286e-80,"ML","FOXN4","ML_vs_all"
"TAL1",9.70154229992572e-83,-0.515119487664075,1,1,7.0918274212457e-80,"ML","TAL1","ML_vs_all"
"IRX4",4.77522739208165e-82,-1.11522173605735,1,1,3.49069122361169e-79,"ML","IRX4","ML_vs_all"
"TP53",1.13683182358827e-81,0.416422271176006,1,1,8.31024063043022e-79,"ML","TP53","ML_vs_all"
"GTF2IRD1",2.91494296532673e-81,-0.553695689312513,1,1,2.13082330765384e-78,"ML","GTF2IRD1","ML_vs_all"
"DLX1",4.29369725372124e-81,-0.85423921628015,1,1,3.13869269247023e-78,"ML","DLX1","ML_vs_all"
"SRF",2.67312561599606e-79,0.363913584736041,1,1,1.95405482529312e-76,"ML","SRF","ML_vs_all"
"SHOX2",4.74689007453088e-78,-0.693044368638108,1,1,3.46997664448207e-75,"ML","SHOX2","ML_vs_all"
"ZBTB4",1.49725119096035e-77,0.440562394645937,1,1,1.09449062059202e-74,"ML","ZBTB4","ML_vs_all"
"ATF7",5.07036446925025e-77,0.589484644481852,1,1,3.70643642702193e-74,"ML","ATF7","ML_vs_all"
"TFEB",1.85277184210938e-76,-0.599131133611356,1,1,1.35437621658196e-73,"ML","TFEB","ML_vs_all"
"HOXB2",3.11715818025516e-76,0.387129583733336,1,1,2.27864262976652e-73,"ML","HOXB2","ML_vs_all"
"TBX15",6.64052611611006e-76,0.412838482232791,1,1,4.85422459087645e-73,"ML","TBX15","ML_vs_all"
"USF1",1.59252401026326e-75,0.364001486397458,1,1,1.16413505150244e-72,"ML","USF1","ML_vs_all"
"XBP1",5.77648959787467e-75,-0.55477985629787,0.999,1,4.22261389604639e-72,"ML","XBP1","ML_vs_all"
"BHLHE40",6.9762836464189e-75,0.46604756505785,1,1,5.09966334553221e-72,"ML","BHLHE40","ML_vs_all"
"ID1",9.18432743536637e-75,0.441806721518229,1,1,6.71374335525282e-72,"ML","ID1","ML_vs_all"
"CUX1",1.63976237686464e-74,0.415109095854047,1,1,1.19866629748805e-71,"ML","CUX1","ML_vs_all"
"FEZF2",2.26170607941784e-74,0.469721556592565,1,1,1.65330714405444e-71,"ML","FEZF2","ML_vs_all"
"CIITA",2.98935537475986e-74,0.429091308465688,1,1,2.18521877894946e-71,"ML","CIITA","ML_vs_all"
"DMTF1",8.50212130558352e-73,0.482863398518151,1,1,6.21505067438155e-70,"ML","DMTF1","ML_vs_all"
"MYF5",1.26270968922522e-72,-0.484672372352944,1,1,9.23040782823632e-70,"ML","MYF5","ML_vs_all"
"MAZ",2.32535823463114e-72,0.348584174100551,1,1,1.69983686951536e-69,"ML","MAZ","ML_vs_all"
"TCF12",3.6009351095898e-72,-0.535257983894343,0.999,1,2.63228356511014e-69,"ML","TCF12","ML_vs_all"
"MXD1",1.15586554923662e-71,-0.617146166648822,0.999,1,8.44937716491971e-69,"ML","MXD1","ML_vs_all"
"ARID1B",1.07728855607688e-70,-0.701200352028155,1,1,7.87497934492196e-68,"ML","ARID1B","ML_vs_all"
"FOSB",6.32001067142149e-69,0.412773535534029,1,1,4.61992780080911e-66,"ML","FOSB","ML_vs_all"
"JUNB",2.54847077876056e-68,-0.403068797183995,1,1,1.86293213927397e-65,"ML","JUNB","ML_vs_all"
"MEF2B",2.42274043416981e-67,-0.653330025068778,0.999,1,1.77102325737813e-64,"ML","MEF2B","ML_vs_all"
"KLF10",4.18914037885264e-67,-0.651628135829831,1,1,3.06226161694128e-64,"ML","KLF10","ML_vs_all"
"PA2G4",6.41303478773442e-67,0.923383232769964,1,1,4.68792842983386e-64,"ML","PA2G4","ML_vs_all"
"NR2F1",1.09573427666016e-66,0.350063993260762,1,1,8.00981756238574e-64,"ML","NR2F1","ML_vs_all"
"ELK1",1.25016224892793e-66,-0.50549130185254,1,1,9.13868603966316e-64,"ML","ELK1","ML_vs_all"
"VDR",5.29902541103816e-66,0.3344352460237,1,1,3.87358757546889e-63,"ML","VDR","ML_vs_all"
"DACH1",1.70259308444224e-65,0.381931375934933,1,1,1.24459554472728e-62,"ML","DACH1","ML_vs_all"
"NFE2L3",2.09964516708581e-65,-0.616536961309823,1,1,1.53484061713973e-62,"ML","NFE2L3","ML_vs_all"
"SMARCA4",2.33618995381099e-64,-0.6565168512716,0.999,1,1.70775485623583e-61,"ML","SMARCA4","ML_vs_all"
"TET1",2.07465408227765e-63,-0.542981276091832,1,1,1.51657213414496e-60,"ML","TET1","ML_vs_all"
"CREM",2.25792672164547e-63,-1.27009031806566,1,1,1.65054443352284e-60,"ML","CREM","ML_vs_all"
"FOXO1",2.61582873933642e-63,-0.465082730118902,0.999,1,1.91217080845492e-60,"ML","FOXO1","ML_vs_all"
"AP1",2.69811052369927e-63,0.365620339642124,1,1,1.97231879282417e-60,"ML","AP1","ML_vs_all"
"GBX2",2.72140686723012e-63,0.295081292416982,1,1,1.98934841994521e-60,"ML","GBX2","ML_vs_all"
"HOXA11",4.85892949485133e-63,-0.537394618936766,1,1,3.55187746073632e-60,"ML","HOXA11","ML_vs_all"
"HDAC5",8.11228126077429e-63,0.363298876341561,1,1,5.930077601626e-60,"ML","HDAC5","ML_vs_all"
"PPARG",9.66140077093608e-62,0.374145889865754,1,1,7.06248396355428e-59,"ML","PPARG","ML_vs_all"
"FOXI1",9.68170488372466e-62,0.446402501532314,1,1,7.07732627000273e-59,"ML","FOXI1","ML_vs_all"
"RELA",1.68012997623081e-61,-0.369601857167456,1,1,1.22817501262472e-58,"ML","RELA","ML_vs_all"
"NKRF",2.31505049334836e-61,-1.0029427770163,1,1,1.69230191063765e-58,"ML","NKRF","ML_vs_all"
"TAF1",2.76535218270923e-61,-0.466389596185119,1,1,2.02147244556044e-58,"ML","TAF1","ML_vs_all"
"POU4F1",1.48642879038966e-60,-0.471236192040897,1,1,1.08657944577484e-57,"ML","POU4F1","ML_vs_all"
"NAB2",2.25334386043848e-60,-0.324802602345885,0.999,1,1.64719436198053e-57,"ML","NAB2","ML_vs_all"
"TLX2",9.30251452879162e-60,0.394188568035855,1,1,6.80013812054667e-57,"ML","TLX2","ML_vs_all"
"FOXG1",1.78513683389392e-59,0.361431242856242,1,1,1.30493502557645e-56,"ML","FOXG1","ML_vs_all"
"PPARA",2.31231410091883e-59,0.445142064621031,1,1,1.69030160777167e-56,"ML","PPARA","ML_vs_all"
"MTF1",3.381339028155e-59,-0.465745991097928,1,1,2.47175882958131e-56,"ML","MTF1","ML_vs_all"
"SALL1",5.07730605852839e-59,-0.543312636668665,0.999,1,3.71151072878425e-56,"ML","SALL1","ML_vs_all"
"RUNX3",8.54352560132561e-59,0.39526051119819,1,1,6.24531721456902e-56,"ML","RUNX3","ML_vs_all"
